timestamp,date,provider,model,input_tokens,output_tokens,cost_usd
2026-01-24T02:22:17.691451,2026-01-24,mistral,mistral-large-latest,238,0,0.000476
2026-01-24T02:22:18.586161,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:22:19.474002,2026-01-24,mistral,mistral-large-latest,319,0,0.000638
2026-01-24T02:22:20.372406,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:22:21.257348,2026-01-24,mistral,mistral-large-latest,291,0,0.000582
2026-01-24T02:22:22.103236,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:22:22.933462,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:22:24.271891,2026-01-24,mistral,mistral-large-latest,232,0,0.000464
2026-01-24T02:22:25.096689,2026-01-24,mistral,mistral-large-latest,222,0,0.000444
2026-01-24T02:22:26.005737,2026-01-24,mistral,mistral-large-latest,226,0,0.000452
2026-01-24T02:22:26.835005,2026-01-24,mistral,mistral-large-latest,229,0,0.000458
2026-01-24T02:22:27.716295,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:22:28.574981,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:22:29.433806,2026-01-24,mistral,mistral-large-latest,338,0,0.000676
2026-01-24T02:22:30.307432,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:22:31.206258,2026-01-24,mistral,mistral-large-latest,209,0,0.000418
2026-01-24T02:22:32.117448,2026-01-24,mistral,mistral-large-latest,192,0,0.000384
2026-01-24T02:22:33.272557,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:22:34.092387,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:22:35.048047,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:22:36.346719,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:22:37.235397,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:22:38.089356,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:22:39.114170,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:22:40.135157,2026-01-24,mistral,mistral-large-latest,254,0,0.000508
2026-01-24T02:22:41.037554,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:22:41.928690,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:22:43.030006,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:22:43.924429,2026-01-24,mistral,mistral-large-latest,245,0,0.000490
2026-01-24T02:22:44.847312,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:22:45.872271,2026-01-24,mistral,mistral-large-latest,261,0,0.000522
2026-01-24T02:22:46.777104,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:22:47.646823,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:22:48.516475,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:22:49.392668,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:22:50.332604,2026-01-24,mistral,mistral-large-latest,242,0,0.000484
2026-01-24T02:22:53.935304,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:22:54.885102,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:22:55.724766,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:22:56.604350,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:22:57.545199,2026-01-24,mistral,mistral-large-latest,253,0,0.000506
2026-01-24T02:22:58.416964,2026-01-24,mistral,mistral-large-latest,243,0,0.000486
2026-01-24T02:22:59.280660,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:23:00.120549,2026-01-24,mistral,mistral-large-latest,256,0,0.000512
2026-01-24T02:23:01.333242,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:23:02.357599,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:23:03.264224,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:23:04.083444,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:23:04.924616,2026-01-24,mistral,mistral-large-latest,241,0,0.000482
2026-01-24T02:23:05.839679,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:23:06.690021,2026-01-24,mistral,mistral-large-latest,215,0,0.000430
